// key	CHAT_SPA_
sc001_spa_1	Pfiou... Il faut prendre soin de soi ♥
sc225_spa_3	Pff, si seulement j'avais Mona pour maître et pas toi. J'aurais beaucoup moins de mal à prêter allégeance et à risquer ma vie.
sc225_spa_4	Tu veux que je sois un bon Child et que je reste sage ? Pas de problème. D'ailleurs, la prochaine fois que tu te fais tabasser en combat, je resterai bien sage dans mon coin.
sc225_spa_max	T'as pas une copine ou un truc comme ça ? Quelqu'un à câliner pendant les fêtes ? ... Non ? Bienvenue au club.
sc227_spa_1	Quoi ? Même moi, j'enlève mes lunettes de soleil dans le bain... C'est si fascinant que ça ?
sc227_spa_2	Vous étiez sur le point de capturer un Child, mais vous l'avez laissé partir ? La prochaine fois, je vous interdis de vous arrêter avant de l'avoir attrapé. C'est compris ? Maintenant, retournez-y !
sc227_spa_3	Que signifie la justice, pour vous ? Ne me dites pas que vous n'y avez jamais réfléchi. En fait, laissez tomber. Il suffit de vous regarder pour connaître la réponse...
sc227_spa_4	Quel est mon point faible ? Ah, je comprends. Vous essayez de me rouler dans la farine. Un niveau de sournoiserie digne d'un démon !
sc227_spa_5	Hé, boss, qu'est-ce qui vous donne envie de devenir Roi des démons ? Peut-être que la justice vous importe bel et bien.
sc227_spa_max	Boss, si vous n'arrivez pas à croire en vous, alors croyez en moi. Je vous protégerai quoi qu'il arrive.
sc228_spa_1	Parfois, un cocktail est aussi agréable qu'un thé.
sc228_spa_2	Je crois que ce bain est réservé aux dames, les messieurs ne sont pas admis.
sc228_spa_3	Tu as eu une enfance, n'est-ce pas, mon petit ?\Un petit morveux insouciant, comme tout le monde.
sc228_spa_4	Une mère reste une mère, même lorsqu'elle est loin.\J'espère que ma passeuse de pacte l'a réalisé.
sc228_spa_5	Tu as rangé ta chambre ? Tu es arrivé au travail à l'heure ?\Tu as mangé ?\Ciel, quand as-tu lavé tes habits pour la dernière fois ?
sc228_spa_max	Si quelque chose te tracasse, viens me voir.\Je ne pourrai pas t'enlever ce poids,\mais je peux apaiser ton esprit.
sc229_spa_1	C-c'est réservé aux femmes ! Personne ne vous a dit ?
sc229_spa_2	Une info inutile, ça n'existe pas. Et ne sous-estimez pas son potentiel meurtrier.
sc229_spa_3	Je possède toutes les informations vous concernant. Ceci dit, je ne pense pas qu'elles valent beaucoup...
sc229_spa_4	Je ne suis pas un chat ! Je suis un chinchilla ! Je ne me suis jamais sentie aussi insultée !
sc229_spa_5	Le foin, c'est mon péché mignon. Mais je ne dis pas non à un brownie de temps en temps.
sc229_spa_max	Je suis une travailleuse honnête ! Et tout travail mérite salaire !
sc230_spa_1	Je t'affronterai n'importe quand, n'importe où !
sc230_spa_2	Ne quitte pas des yeux les ténèbres dans ton cœur si tu ne veux pas qu'elles grandissent et t'engloutissent un jour.
sc230_spa_3	Ne cède pas à ton destin, démon ! Une lueur t'attend au-delà des ténèbres !
sc230_spa_max	L'avenir n'a pas de maître. L'avenir, c'est nous ! Viens, toi qui partages cette immortalité de malheur ! Embarquons dans une aventure maudite !
sc231_spa_1	Tu ne serais pas en train de me regarder un peu trop fixement ?
sc231_spa_2	Ne me parle pas comme ça !\Je ferais une excellente mère.
sc231_spa_3	Je t'ai choisi comme mari, car tu es un maître...\ Mais peut-être que je devrais choisir un autre démon.
sc231_spa_4	Monsieur Démon, tu as déjà oublié\que tu devais m'épouser ?
sc231_spa_5	Mais qu'est-ce que je dois faire pour\que tu tombes amoureux de moi ? Sérieusement...
sc231_spa_max	Je n'accepterai pas moins que le Roi des démons comme mari.\Alors, tu dois le devenir, coûte que coûte.
sc232_spa_1	Les sources chaudes sont si agréables. Vous savez, M. Démon, je crois que je...
sc232_spa_2	Est-ce que c'était mon destin de devenir votre Child ? Ou bien est-ce que je le suis devenue de mon plein gré ?
sc232_spa_3	Vous avez envie d'une limonade glacée, vous aussi ? Hi hi hi. On a les mêmes goûts. ★
sc232_spa_4	Vous avez une belle voix, petit démon bavard. Vous voulez bien me chanter quelque chose ? ♪
sc232_spa_max	Parfois, j'ai peur que tout ceci ne soit qu'un rêve, que je vais me réveiller et que tout aura disparu. Si ça devait arriver, je promets de ne jamais vous oublier.
sc233_spa_1	Hé hé... Tenez-vous bien.
sc233_spa_2	Bonjour, Maître.\Oh ? On est déjà le soir ?
sc233_spa_3	Vous savez depuis combien de temps je vous attends ? Au fait, mon électricité fait des siennes en ce moment, j'ai peur de vous électro... Aah ! Maître, attention !
sc233_spa_4	Je vous aime beaucoup, Maître. Je suis désolée d'avoir grillé votre ordinateur. Hi hi. J'ai un peu dérapé. Désolée ♥
sc233_spa_max	Vous faites peur quand vous vous mettez en colère, mais je sais que vous vous faites juste du souci pour moi. Oups, je vous ai encore donné un coup de jus ?
sc234_spa_1	C'est comme si le feu qui sommeillait dans mon cœur rugissait de nouveau.
sc234_spa_2	C'est à moi de décider comment j'utilise ma force ! Mes actions, mes choix... Ils me reviennent !
sc234_spa_3	Chacun son chemin ! Je suis le mien et toi le tien !
sc234_spa_4	Tu as besoin de ma force ? Prouve-moi d'abord que les travaux que tu me demandes d'accomplir en valent la peine !
sc234_spa_max	Je comprends tes élans d'indolence. Moi aussi, il m'arrive d'en avoir.
sc235_spa_1	Tu as vu ? Hein ? Il vaudrait mieux que non.
sc235_spa_2	Pff, rien que du menu fretin. Qui ça ? Oh, juste la poignée de vauriens que j'ai rappelés à l'ordre aujourd'hui.
sc235_spa_3	Qui est-ce que t'appelles "gentille" ? Moi ? Je peux pas rester sans rien dire quand quelqu'un me tape sur les nerfs, c'est tout.
sc235_spa_4	Tu te fais marcher dessus parce que t'es faible ? La prochaine fois qu'on te victimise, viens me voir directement, d'accord ?
sc235_spa_max	Oh, t'es déjà là ? T'as l'intention d'y mettre du tien, aujourd'hui ? Il faut que t'arrêtes de te reposer sur les autres et que tu commences à te battre par toi-même.
sc237_spa_1	Hmm, j'adore !\Hi hi ♪
sc237_spa_2	Medb passe son temps à me tourner en ridicule.\C'est vrai qu'elle s'excuse à chaque fois,\mais bon...
sc237_spa_3	J'ai abandonné le concours du Roi des démons avec quelques astuces.\Medb et Ailill m'ont aidé.\Il parait qu'il y a quelques autres démons comme moi.\J'étais soulagé, au final. Un idiot comme moi ne peut quand même pas être prétendant !
sc237_spa_4	Merci pour cette journée,\je me suis bien amusé.\Si tu as besoin d'aide un jour,\je suis ton homme.\Je ne te gênerai pas.
sc237_spa_5	Je me suis vraiment éclaté à Halloween.\Si seulement ça pouvait être Halloween tous les jours...\Tu ne peux pas comprendre, toi.\Ta vie est une fête permanente !
sc237_spa_max	Je ne suis encore qu'un amateur,\mais un jour, je vais t'écraser comme un pro.\Je ne vais pas laisser tomber\mon seul et unique passe-temps.\Alors... ne rentre pas au Royaume infernal\avant moi, d'accord ?
sc238_spa_1	Aïe aïe aïe, mon dos et mes pieds me font un mal de chien... Allez ! Moins de regards, plus de massages !
sc238_spa_2	Pff, qu'est-ce que tu as à fouiner comme ça ? Je vois bien que tu veux me demander quelque chose. Ça se voit comme le nez au milieu de la figure !
sc238_spa_3	Ailill et Typhon ? Aucune ambition, ces deux-là ! Pourquoi est-ce qu'ils ne se sont pas inscrits au concours du Roi des démons ? Ça aurait été marrant si l'un d'entre eux avait gagné.
sc238_spa_4	Je n'arrive vraiment pas à voir si tu as fait des progrès. Sans tes assistantes, tu n'aurais pas fait long feu, tu sais. J'en ai vu, des démons, mais alors toi, tu remportes la palme de l'incompétence.
sc238_spa_5	Le Royaume des mortels est plus amusant que ce que je pensais. On n'est pas obligé d'être constamment sur ses gardes comme dans le Royaume infernal. C'est pour ça que tu préfères vivre ici, non ? Je comprends.
sc238_spa_max	Sérieusement, qu'est-ce que tu ferais sans moi ? J'aurais la honte si j'apprenais qu'un démon sorti de nulle part avait éliminé mon adorable petit protégé. Ne t'éloigne pas, tu veux ?
sc239_spa_1	Quel est cet... arôme magique ?
sc239_spa_2	Cette Grendel m'exaspère vraiment.\Elle est prête à réellement se battre avec moi ?
sc239_spa_3	Énerve-moi, juste un peu, et je t'explose.\Bah alors ? Tu as tressailli ? Ha ha ha !
sc239_spa_4	Des potes ? Quel est l'intérêt d'en avoir ?\Ça n'apporte que des ennuis. Mais si tu insistes,\montre-moi comment on fait.
sc239_spa_5	Si tu n'aimes pas quelqu'un, explose-le.\Quoi, tu as peur ? Je dois le faire pour toi ?\Ha ha ha ! Je m'en occupe !
sc239_spa_max	Tu as fait toujours plus de Childs parce que tu te sentais seul ?\Ce n'est pas mon genre, mais je vais jouer le jeu\de l'amitié et tout ça avec toi.
sc242_spa_1	Ooooh ! Il y a tant de choses intéressantes dans le Royaume des mortels.
sc242_spa_2	S'il y a d'autres groupes d'encouragement ? Eh bien, oui, mais ils se contentent d'encourager, en général. Nous, on est les seuls à fournir des blagues en prime.
sc242_spa_3	Qu'est-ce qui te prend de te balader comme ça ? C'est dégoûtant. Je vous jure, les hommes, on leur donne le doigt et ils nous prennent le bras.\Hé, pourquoi tu fais cette tête ?
sc242_spa_4	Si les canulars de démons sont si drôles, c'est parce qu'il n'y a aucune arrière-pensée ! C'est juste pour s'amuser ! C'est trop marrant, je ne peux pas m'en empêcher.
sc242_spa_5	Après avoir rencontré Typhon, j'ai passé une bonne centaine d'années à lui faire des blagues. Il était si mignon et innocent. Avec toi, je crois que je suis partie pour au moins... 200 ans, facile.
sc242_spa_max	Notre rencontre était comme une illusion ? Tu veux dire que tu as l'impression qu'elle aurait aussi bien pu ne jamais se produire ? Mais tu ne connais pas l'avenir. Qui sait si on ne se serait pas rencontrés d'une autre manière ?
sc246_spa_1	Arrête de me fixer...
sc246_spa_2	Bonjour ! C'est moi, le cadeau de Noël rien que pour toi : Krampus ! ★ Tu ne t'y attendais pas, n'est-ce pas ?
sc246_spa_3	Tu as perdu ta langue ? Tu es gêné, c'est ça ? ... Ah, on dirait que j'ai tapé dans le mille ! Ha ha ha ! Trop mignon. ★
sc246_spa_4	Je t'aide uniquement jusqu'à ce que je me lasse. ★ Ne m'en veux pas, c'est mon caractère saugrenu qui veut ça.
sc246_spa_5	Il ne faut pas croire tout ce qu'on voit. Mais il ne faut pas non plus croire tout ce qu'on ne voit pas, évidemment.
sc246_spa_max	J'ai subi un choc quand mon maître précédent m'a abandonnée, mais grâce à toi, j'ai surmonté cette épreuve ! Hmm ? Tu ne me crois pas, c'est ça ?
sc247_spa_1	Qu'est-ce que c'est que ces sources chaudes ? Pas un seul pétale de fleur... Décevant.
sc247_spa_2	Est-ce comme cela que tu accueilles une reine ? Avec nonchalance ? Sans une once de solennité ? Ton attitude laisse à désirer.
sc247_spa_3	Cette couronne n'est pas qu'un simple accessoire à la portée de tous. Souviens-t'en la prochaine fois que tu essaies de la souiller de tes sales pattes.
sc247_spa_4	Tu oses qualifier une reine de "minuscule" ? Quelle insolence ! Je ne m'arrêterai pas avant d'avoir arraché le dernier cheveu de cette tête effrontée !
sc247_spa_5	Il faut être fort pour régner sans plier sous le poids de la couronne. En es-tu capable ?
sc247_spa_max	Je perçois les qualités d'un roi en toi. Elles ne sont simplement pas encore remontées à la surface. Tu n'es pas précoce, mais peut-être bien qu'un jour tu m'arriveras à la cheville.
sc250_spa_1	Comment ça, "arrête de jouer dans les sources chaudes ?"\Détends-toi, un peu !
sc250_spa_2	Tu sais qu'il y a aussi des fantômes dans les sources chaudes ?\Quoi ?\Oh, tu as compris que je parlais de moi ?
sc250_spa_3	Ça m'agace de rester en place.\Je sais. Je sais. Pas de bêtises.
sc250_spa_4	Aaah !\Un voyeur ! Pervers !\Hé hé hé hé, je blague.
sc250_spa_5	Franchement, c'est génial. Essaie, tu verras.\Je ne te ferai pas de blague. Promis.
sc250_spa_max	Viens jouer avec moi la prochaine fois.\Je suis sûre qu'on va bien s'amuser !
sc252_spa_1	Tout ce que tu vois n'est pas réel.\Ne te contente pas d'un bonheur temporaire.
sc252_spa_2	Cet endroit émane une mystérieuse odeur,\c'est probablement ce qui attire les égarés.
sc252_spa_3	Je ne peux pas rester sans rien faire pendant que le monde\est ravagé par une armée de démons.
sc252_spa_4	Je n'entrerai au Nirvana que lorsque j'aurai fini d'éradiquer les démons\et que j'aurai tout restauré.
sc252_spa_5	Notre volonté est infaillible.\Nous la conserverons à travers un cycle infini de mort et de renaissance.
sc252_spa_max	La vie n'est que douleur. Mais que pouvons-nous faire ?\Nous ne pouvons que persévérer en portant notre karma.
sc253_spa_1	Un Noël chaud, ce n'est pas si mal.
sc253_spa_2	J'ai rencontré beaucoup de démons qui faisaient semblant d'être des mauviettes, mais tu es le premier qui l'est réellement.
sc253_spa_3	C'est vrai que Noël rend les démons malades ? C'est quand même pas de chance.
sc253_spa_4	Je déteste les démons. Ils sont bien trop orgueilleux et malpolis. Et cette odeur ! Mon Dieu, cette odeur ! Elle me donne la nausée.
sc253_spa_5	J'ai accepté de faire un pacte parce que j'en avais marre de t'avoir dans les pattes, mais n'oublie pas que je suis une exorciste. *bâille* C'est juste que j'ai la flemme de travailler.
sc253_spa_max	Je comprends tout à fait ton aversion à l'effort. Je suis au moins aussi fainéante que toi, après tout.
sc261_spa_1	Dans un tel endroit, je pourrais oublier la douleur de la floraison.
sc261_spa_2	Voilà qui apaise la douleur de la floraison.
sc261_spa_3	Puis-je me permettre d'apprécier de tels luxes ?
sc261_spa_4	J'attends le jour de nos retrouvailles avec impatience.
sc261_spa_5	Cette rencontre est si fortuite...
sc261_spa_max	Maître, je vous servirai de tout mon cœur.
sc262_spa_1	Tu voulais quelque chose ? Ça peut attendre un peu ? Je suis bien, ici.
sc262_spa_2	Maître, vous dites que vous n'avez peur de rien, mais vous ne semblez quand même pas très rassuré devant Davi.
sc262_spa_3	Votre honneur et le mien ne font qu'un. S'il vous plaît, ne faites rien qui pourrait le souiller.
sc262_spa_4	Mon pauvre maître. Quelqu'un vous a encore embêté, je me trompe ? Dites-moi qui c'est. Je vais me fâcher tout rouge !
sc262_spa_5	Votre lâcheté n'est que la conséquence naturelle de votre générosité. C'est pour ça que je vous apprécie.
sc262_spa_max	Je ressens une détermination inébranlable en vous. Je veillerai sur vous jusqu'au bout.
sc266_spa_1	Est-ce bien, comme ça ? Hmm...
sc266_spa_2	Voilà bien longtemps que je n'avais pas profité d'un bon bain chaud. Si longtemps que je m'en souviens à peine... Hmm... Et maintenant ? Je ne pense qu'à la reine.
sc266_spa_3	Je n'avais pas pu me détendre comme cela depuis longtemps. À mon apogée, des exorcistes se terraient dans les moindres recoins. C'était éprouvant. Je ne pouvais pas baisser ma garde pendant un seul instant.
sc266_spa_4	Plus la reine gagne en puissance, plus j'ai la migraine. En plus, ses souvenirs lui reviennent... Que vais-je faire lorsqu'elle décidera de se lancer sérieusement dans le concours du Roi des démons ? Ha ha...
sc266_spa_5	J'ai vécu bien trop longtemps. Hmm ? Je suis sérieux. Quand j'étais à mon apogée, je ne pouvais pas souffler un instant. Mais je peux désormais passer du temps avec toi, ce dont je ne me lasse pas.
sc266_spa_max	J'ai vécu une longue vie, tu sais. Jusqu'à aujourd'hui, j'étais toujours sur le qui-vive, entouré d'individus cruels et malintentionnés. Mais au côté d'un démon tel que toi, je peux enfin me détendre.
sc267_spa_1	Ce bain est d'une incroyable laideur, mais je suppose que je peux m'abaisser à cela pour cette fois.
